source_region,ap-northeast-1,ap-south-1,eu-west-1,us-east-1,us-west-2
ap-northeast-1,0.71,126.694,202.506,149.09,98.146
ap-south-1,126.686,0.109,119.69,196.478,230.343
eu-west-1,202.523,119.677,0.352,68.36,116.923
us-east-1,149.086,196.478,68.352,0.21,61.053
us-west-2,98.162,230.344,116.915,61.039,0.137
